municipio_codigo;municipio_nombre;municipio_codigo_ine;nuts4_codigo;nuts4_nombre;superficie_km2;densidad_por_km2
152;Torrelodones;281527;05;Oeste Metropolitano;21.67;1067.28
153;Torremocha de Jarama;281533;06;Sierra Norte;18.86;49.95
154;Torres de la Alameda;281548;08;Sudeste Comunidad;43.34;180.55
155;Valdaracete;281551;08;Sudeste Comunidad;63.80;10.08
156;Valdeavero;281564;07;Nordeste Comunidad;18.71;77.50
157;Valdelaguna;281570;08;Sudeste Comunidad;42.26;20.52
158;Valdemanco;281586;06;Sierra Norte;17.79;51.49
159;Valdemaqueda;281599;10;Sierra Sur;51.79;14.83
160;Valdemorillo;281603;11;Sierra Central;93.80;131.13
161;Valdemoro;281610;04;Sur Metropolitano;64.16;1152.99
162;Valdeolmos-Alalpardo;281625;07;Nordeste Comunidad;25.84;151.16
163;Valdepiélagos;281631;07;Nordeste Comunidad;17.66;33.24
164;Valdetorres de Jarama;281646;07;Nordeste Comunidad;35.07;123.07
165;Valdilecha;281659;08;Sudeste Comunidad;42.57;64.72
166;Valverde de Alcalá;281662;08;Sudeste Comunidad;13.74;31.08
167;Velilla de San Antonio;281678;03;Este Metropolitano;14.37;842.80
168;Vellón (El);281684;06;Sierra Norte;33.49;54.76
169;Venturada;281697;06;Sierra Norte;10.22;198.83
170;Villaconejos;281701;08;Sudeste Comunidad;33.27;100.69
171;Villa del Prado;281718;09;Sudoeste Comunidad;77.27;82.01
172;Villalbilla;281723;08;Sudeste Comunidad;34.72;375.52
173;Villamanrique de Tajo;281739;08;Sudeste Comunidad;29.58;23.46
174;Villamanta;281744;09;Sudoeste Comunidad;63.23;39.40
175;Villamantilla;281757;09;Sudoeste Comunidad;23.92;57.78
176;Villanueva de la Cañada;281760;05;Oeste Metropolitano;34.76;584.58
177;Villanueva del Pardillo;281776;11;Sierra Central;25.43;669.48
178;Villanueva de Perales;281782;09;Sudoeste Comunidad;31.43;48.33
179;Villar del Olmo;281795;08;Sudeste Comunidad;27.78;71.89
180;Villarejo de Salvanés;281809;08;Sudeste Comunidad;119.00;60.88
181;Villaviciosa de Odón;281816;05;Oeste Metropolitano;68.20;403.28
182;Villavieja del Lozoya;281821;06;Sierra Norte;23.30;11.46
183;Zarzalejo;281837;10;Sierra Sur;20.18;79.09
901;Lozoyuela-Navas-Sieteiglesias;289015;06;Sierra Norte;51.43;24.05
902;Puentes Viejas;289020;06;Sierra Norte;58.54;10.80
903;Tres Cantos;289036;02;Norte Metropolitano;37.95;1213.33
